idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a6b,a7,a1a,a14d,a14m,a14y,a14h,a14min,ic1,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,TZb1,TZb2,TZb3,b4a,b5,b6,b6b,b7,b7a,TZb4,TZb5,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,TZc1,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,TZd1a,TZd1b,TZd1c,TZd1d,TZd1e,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,TZd2a,TZd2b,TZd2c,TZd2d,d38x,d39,d14a,d14b,d40a,d40b,d41,TZd3,TZd4,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,TZmm1,TZmm2,TZmm3,TZmm4,TZmm5,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,TZl1,l31,l32,l33,TZl2,TZl3a,TZl3b,TZl3c,TZl3d,l34,l35,l36,TZl4,TZl5,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,TZl6,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1181289,604,Food,Small,Arusha,Establishment,1,1,Yes,Food,Manufacturing,Arusha,5,Small,No,Swahili,17,7,2023,13,42,Yes,2022,6,30,Tanzania,ES004,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,80.0,0.0,,2002,3,2002,21.0,No,2,0,No,,No,,,,84,Yes,1.0,3.0,0.0,None,,No,,No,,,,Don't know (spontaneous),,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Minor obstacle,Manufacturing of ,,,,,50,11000000.0,Eleven million,15000000.0,Fifteen million,7000000.0,Seven million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Historical experience,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Below 50%,,0.0,No,"Yes, there is more competition",No,No,,No obstacle,0.0,,,,No,,,No,,68.0,No,,,No,,,,,,No obstacle,Yes,6000000.0,No,Yes,0,100,0,0,0,No,,,,,,,,,,,,,,,No,,,No,No,"Yes, a loan only",State-owned banks or government agency,2022.0,30000000.0,Yes,Yes,No,No,No,No,30000000.0,Don't know (spontaneous),,No,"Yes, a loan only",,Application was approved in full,Don't know (spontaneous),30.0,Yes,0,,,,,0,,,2.0,No,,,,,Tend to agree,70,Yes,2.0,No,No,,"Yes, fully",48.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,One day or less,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,2,3,6,4,1,5,7,3.0,3,2.0,1.0,1,1,0,1.0,0.0,,0.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,3,3,0.0,12.0,No,,,Yes,Yes,No,No obstacle,No obstacle,Access to finance,12,13,6,11,15,1,7,5,8,10,4,2,14,3,9,4800000.0,2200000.0,360000,0,0,2040000.0,,4200000.0,600000.0,1000000.0,20,5,17,7,2023,14,24,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,No,No,City with population over 1 million,1062,Arusha,Small (5-19),Food,Panel,9.523211,10.189959,11.576479,2,0,0.0
1181290,605,Other Manufacturing,Small,Arusha,Establishment,1,0,Yes,Retail,Retail services,Arusha,5,Small,No,Swahili,5,9,2023,11,11,Yes,2022,12,31,Tanzania,ES025,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2011,2,2011,10.0,No,1,0,No,,No,,,,72,Yes,1.0,12.0,0.0,,5200000.0,No,,No,,,,2,Gallons,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Moderate obstacle,Retail trade of ,,,,,100,68000000.0,Sixty eight million only,,,Don't know (spontaneous),,100,0,0,95,0,0,0,5,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Business expo,Size of the business,Minor obstacle,No obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,7.0,Don't know (spontaneous),,0.0,Yes,"Yes, there is more competition",Yes,No,,Major obstacle,0.0,,,,No,,,No,,,Yes,14.0,No,No,,,25.0,Square Feet,,Minor obstacle,No,,No,No,100,0,0,0,0,Yes,0.0,25000000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,"Yes, a loan only",Private commercial banks,2021.0,30000000.0,Yes,No,No,No,Yes,No,Don't know (spontaneous),1.0,10500000.0,No,No,Other,,,,Yes,10,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,Don't know (spontaneous),Don't know (spontaneous),5,Mobile money,3.0,3.0,Yes,None,None,10.0,None,Strongly agree,No time was spent,Yes,3.0,No,No,,No,,24.0,No,"Yes, fully",No,,The application for a VAT cash refund is too complicated,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Moderate obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,Major obstacle,3,6,4,5,7,2,1,5.0,3,,,2,3,0,,,0.0,100.0,,0.0,,,,,,,10,2,No hires,Competitive labor costs and benefits were too high,,,,,,No,,,,,4,1,0.0,12.0,No,,,No,,No,Minor obstacle,No obstacle,Corruption,12,10,4,7,13,8,1,5,11,14,15,3,2,6,9,8200000.0,Don't know (spontaneous),360000,480000,0,,Don't know (spontaneous),,,,Refusal (spontaneous),Refusal (spontaneous),5,9,2023,12,32,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,No,Yes,City with population over 1 million,4711,Arusha,Small (5-19),Other Manufacturing,Panel,70.136345,72.99308,80.20135,4,0,0.0
1181291,611,Other Services,Small,Arusha,Establishment,1,1,Yes,Accommodation,Other services,Arusha,12,Small,No,Swahili,7,7,2023,12,13,Yes,2022,12,31,Tanzania,ES025,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2008,Don't know (spontaneous),2008,6.0,No,12,0,No,,No,,,,Don't know (spontaneous),No,,,,,,No,,No,,,,Don't know (spontaneous),,,No,,,,,0.0,Yes,0.0,,,0.0,,,,,With some difficulty,Major obstacle,Hotel,20.0,Don't know (spontaneous),,,100,,,,,Don't know (spontaneous),,100,0,0,80,0,0,0,20,,,,,,,,,,,,,100,0,,0,30,70,0,,,,,,,,Through other business,Size of the business,No obstacle,No obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,10.0,Between 50% and 90%,,0.0,Yes,"Yes, there is more competition",No,Don't know (spontaneous),,Very severe obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Minor obstacle,No,,No,No,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,Don't know (spontaneous),No,No need for a loan - establishment had sufficient capital,,,,Yes,0,,,,,0,,,3.0,No,,,,,Strongly agree,No time was spent,Yes,3.0,No,Don't know (spontaneous),,No,36.0,,Don't know (spontaneous),"Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Major obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,2,6,7,4,1,3,5,12.0,16,,,5,4,3,,,9.0,60.0,,1.0,,,,,80.0,,40,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,12,12,9.0,12.0,No,,,Yes,Yes,No,No obstacle,Major obstacle,Courts,14,13,11,4,3,8,15,7,1,12,2,6,9,10,5,Don't know (spontaneous),,6000000,1872000,240000,,,,,,Refusal (spontaneous),Refusal (spontaneous),7,7,2023,13,50,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,5510,Arusha,Small (5-19),Other Services,Panel,40.57353,47.43799,43.5825,10,0,0.0
1181292,613,Hotels,Medium,Zanzibar,Establishment,0,1,Yes,Accommodation,Other services,Zanzibar,8,Small,No,Swahili,19,9,2023,11,26,Yes,2022,12,31,Tanzania,ES004,,,,,,Partnership,,0.0,100,0.0,0,0,Yes,No family ownership,,,100.0,2006,8,2006,17.0,Yes,2,2,No,,No,,,,840,Yes,1.0,4.0,0.0,5.0,,Yes,20.0,No,,,,3000,Other,Liters,No,,,,,0.0,Yes,0.0,,,1.0,15.0,,10.0,,With no difficulty at all,Moderate obstacle,Hotel,11.0,66.0,Square Meters,,100,112000000.0,One hundred twelve million,,,Establishment was not in business in Fiscal Year,,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through internet,Historical experience,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,5.0,,60.0,0.0,No,"Yes, there is more competition",No,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,No obstacle,No,,No,Yes,10,0,0,0,90,No,,,,,,,,,,,,,,,,,,Yes,No,"Yes, a loan only",Other,2022.0,385000000.0,Yes,Yes,No,No,No,No,385000000.0,1.0,285000000.0,No,"Yes, a loan only",,Application was approved in full,Don't know (spontaneous),30.0,Yes,80,Debit cards,Payment received in less than a day,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,2.0,No,,,,,Tend to agree,100,Yes,4.0,No,Yes,One week or less,"Yes, fully",72.0,,"Yes, fully","Yes, fully",Yes,4.0,Other,No,,No,,No payments or gifts are paid,,No,,,Yes,3.0,No,Major obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,7,5,1,4,6,2,3,8.0,3,,,4,2,2,,,3.0,70.0,,1.0,,,,,100.0,,30,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,8,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,No obstacle,No obstacle,Tax rates,13,11,14,4,10,2,8,3,12,6,5,7,9,15,1,62640000.0,17264000.0,3600000,2580000,6000000,,,,,,25,3,19,9,2023,12,17,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,No,Yes,City with population over 1 million,5510,Zanzibar,Medium (20-99),Hotels,Panel,1.1976088,1.6094093,1.0,103,0,0.0
1181293,618,Hotels,Large,Arusha,Establishment,0,0,Yes,Services of motor vehicles,Other services,Arusha,12,Small,Yes,Swahili,17,7,2023,10,20,Yes,2022,12,31,Tanzania,ES017,4.0,No,,,Yes,Sole proprietorship,,1.0,100,0.0,0,0,No,50,50.0,0.0,,1970,15,1970,53.0,No,8,3,No,,No,,,,1200,No,,,,,,Yes,40.0,No,,,,100,Cubic meters,,No,,,,,1.0,Yes,0.0,,,1.0,3.0,,5.0,,There is only one available internet provider,Moderate obstacle,Provide services of ,,,,,100,980000000.0,Nine hundred eighty million,,,1200000000.0,One billion and two hundred million,100,0,0,20,20,50,5,5,,,,,,,,,,,,,5,95,Yes,30,40,20,10,Japan,Seaport,Don't know (spontaneous),,Don't know (spontaneous),,12.0,Other (spontaneous),Personal relationship and trust with the top manager of the business,Major obstacle,Major obstacle,No,,Does not apply (spontaneous),Does not apply (spontaneous),,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,,38.0,1.0,No,No change,Yes,No,,No obstacle,1.0,Yes,A new car brand,"is better, with improvements coming from Land Rover's enhancements in the market.",No,,,No,,,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Other,,,,Yes,50,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,15.0,5000000.0,40,Mobile money,19.0,1.0,No,,,,,Does not apply (spontaneous),No time was spent,Yes,1.0,No,No,,No,,10.0,"Yes, fully","Yes, fully",Yes,One week or less,,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,No obstacle,No obstacle,Major obstacle,Does not apply,Does not apply,Minor obstacle,3,7,6,5,2,1,4,18.0,18,,,1,9,8,,,0.0,70.0,,0.0,,,,,,,80,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,18,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,Minor obstacle,No obstacle,Electricity,3,12,1,15,14,7,4,11,8,6,10,13,5,9,2,30000000.0,9000000.0,4800000,1800000,4200000,,,,,,22,9,17,7,2023,11,55,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,No,No,City with population over 1 million,4520,Arusha,Large (100 or more),Hotels,Panel,1.5194972,1.5205735,1.424423,27,0,0.0
1181294,621,Other Services,Small,Arusha,Establishment,1,0,Yes,Printing and reproduction of recorded media,Manufacturing,Arusha,7,Small,No,Swahili,10,7,2023,14,22,Yes,2022,6,30,Tanzania,ES004,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2002,1,2005,20.0,No,1,0,No,,No,,,,100,Yes,3.0,3.0,0.0,20.0,,No,,No,,,,Don't know (spontaneous),,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),No obstacle,Manufacturing of ,,,,,75,250000000.0,Two hundred fifty million,230000000.0,Two hundred and thirty million,180000000.0,One hundred and eighty million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through internet,Historical experience,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,10.0,Between 50% and 90%,,0.0,Yes,"Yes, there is more competition",Yes,No,,Moderate obstacle,0.0,,,,No,,,No,,Don't know (spontaneous),No,,,No,,,,,,Moderate obstacle,No,,No,No,100,0,0,0,0,Yes,6000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,6000000.0,0.0,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,,,No,5,Mobile money,Payment received in less than a day,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,2.0,Yes,Don't know (spontaneous),100.0,Don't know (spontaneous),Don't know (spontaneous),Tend to agree,100,Yes,1.0,No,No,,No,,2.0,"Yes, fully","Yes, fully",Yes,One week or less,,Yes,Somewhat difficult,Yes,30.0,No payments or gifts are paid,,No,,,Yes,14.0,No,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,4,6,5,2,7,3,7.0,7,7.0,0.0,7,0,0,1.0,0.0,,70.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,7,7,1.0,12.0,No,,,No,,No,No obstacle,Moderate obstacle,Access to finance,1,4,6,11,9,7,14,10,12,5,13,2,8,15,3,200000000.0,0.0,400000,100000,0,175000000.0,,150000000.0,150000000.0,500000000.0,15,6,10,7,2023,15,25,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,No,No,City with population over 1 million,1811,Arusha,Small (5-19),Other Services,Panel,25.494753,27.987251,34.551098,10,0,0.0
1181295,629,Retail,Small,Dar-es-salaam,Establishment,0,1,Yes,Services of motor vehicles,Retail services,Dar-es-salaam,7,Small,No,Swahili,20,7,2023,15,4,Yes,2022,12,31,Tanzania,ES018,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2007,3,2008,15.0,No,2,0,No,,No,,,,78,No,,,,,,No,,No,,,,50,Cubic meters,,No,,,,,1.0,No,0.0,,,0.0,,,,,With some difficulty,Major obstacle,Retail trade of ,,,,,100,1000000000.0,One billion,,,1500000000.0,One bilion and five hundred milion,100,0,0,75,5,5,15,0,,,,,,,,,,,,,20,80,Yes,50,30,20,0,American Samoa,Airport,15.0,,25.0,,5.0,Through other business,Personal relationship and trust with the top manager of the business,Major obstacle,Very severe obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,,48.0,0.0,Yes,"Yes, there is more competition",No,No,,Moderate obstacle,0.0,,,,No,,,No,,,No,,,No,,,Don't know (spontaneous),,,Very severe obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,,,Yes,0,,,,,0,,,4.0,Yes,50.0,5.0,10.0,5.0,Tend to disagree,No time was spent,Yes,1.0,No,Yes,2.0,No,96.0,,No,No,No,,Other,No,,No,,No payments or gifts are paid,,Yes,30.0,Refusal (spontaneous),Yes,14.0,No,Very severe obstacle,Very severe obstacle,Very severe obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,4,1,7,2,3,5,6,7.0,7,,,2,2,3,,,0.0,7.0,,1.0,,,,,No female employees trained,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,7,7,0.0,12.0,No,,,No,,No,Major obstacle,Minor obstacle,Business licensing and permits,10,4,9,13,15,11,6,12,8,7,14,1,2,5,3,100000000.0,10000000.0,1200000,800000,0,,Don't know (spontaneous),,,,Refusal (spontaneous),Refusal (spontaneous),20,7,2023,16,8,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,4530,Dar-es-salaam,Small (5-19),Retail,Panel,118.81806,117.35484,180.36006,34,0,0.0
1181296,631,Other Services,Large,Dar-es-salaam,Establishment,1,1,Yes,Services of motor vehicles,Retail services,Dar-es-salaam,80,Medium,No,Swahili,28,7,2023,11,24,Yes,2022,10,31,Tanzania,ES018,,,,,,Partnership,,0.0,30,70.0,0,0,No,No family ownership,,,,1992,18,1992,7.0,No,20,8,No,,No,,,,Don't know (spontaneous),No,,,,,,No,,No,,,,Don't know (spontaneous),,,No,,,,,1.0,No,0.0,,,0.0,,,,,With little difficulty,Moderate obstacle,Retail trade of ,,,,,100,2000000000.0,Two billion,,,2000000000.0,Two bilion,45,40,15,50,20,5,15,0,,,,,,,,,,,,2000.0,25,75,Yes,60,15,25,0,Belgium,Seaport,20.0,,25.0,,15.0,Through other business,Personal relationship and trust with the top manager of the business,Major obstacle,Moderate obstacle,No,,Tend to disagree,Tend to agree,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,Too many to count,Below 50%,,0.0,Yes,"Yes, there is more competition",No,No,,Moderate obstacle,0.0,,,,No,,,No,,,No,,,No,,,Don't know (spontaneous),,,Major obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,0,,,,,0,,,3.0,No,,,,,Tend to agree,10,Yes,2.0,No,No,,No,96.0,,No,No,No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,Yes,25.0,No,Yes,5.0,No,Major obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Major obstacle,2,1,5,4,3,6,7,80.0,80,,,20,15,45,,,80.0,,60.0,0.0,,,,,,,30,10,4.0,Legally required minimum wage or cost of dismissal were too high,None,No,No,No,Yes,No,,,,,80,80,28.0,12.0,No,,,No,,No,Major obstacle,Moderate obstacle,Business licensing and permits,13,14,8,4,3,11,7,10,12,15,6,5,2,1,9,800000000.0,250000000.0,1500000,300000,0,,Don't know (spontaneous),,,,Refusal (spontaneous),Refusal (spontaneous),28,7,2023,14,49,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,4530,Dar-es-salaam,Large (100 or more),Other Services,Panel,31.872152,31.832932,35.322,55,15,1.0
1181297,632,Retail,Small,Mbeya,Establishment,1,1,Yes,Accommodation,Other services,Mbeya,18,Small,No,Swahili,18,9,2023,15,31,Yes,2022,12,31,Tanzania,ES019,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2010,5,2011,12.0,No,2,0,No,,No,,,,2580,Yes,4.0,6.0,40.0,5.0,,Yes,100.0,No,,,,35802,Cubic meters,,No,,,,,1.0,Yes,0.0,,,1.0,2.0,,2.0,,With little difficulty,Major obstacle,Hotel,20.0,400.0,Square Meters,,85,50000000.0,Fifty million,,,28000000.0,Twenty eight million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,-7,Don't know (spontaneous),No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Don't know (spontaneous),,1.0,No,"Yes, there is more competition",Yes,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,No obstacle,No,,No,No,75,5,0,0,20,No,,,,,,,,,,,,,,,,,,Yes,No,"Yes, a loan only",Private commercial banks,2020.0,Refusal (spontaneous),Yes,Yes,No,No,No,Yes,15000000.0,2.0,20000000.0,No,No,Other,,,,No,30,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,12.0,1500000.0,18,"Internet and mobile banking, including direct debit transfer",4.0,4.0,No,,,,,Tend to agree,2,Yes,6.0,No,No,,No,30.0,,"Yes, fully","Yes, fully",,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Major obstacle,No obstacle,Minor obstacle,3,6,7,4,5,1,2,13.0,9,,,5,5,3,,,2.0,,11.0,0.0,,,,,,,4,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,5,5,2.0,4.0,No,,,Yes,No,Yes,No obstacle,Minor obstacle,Access to finance,8,12,14,15,13,1,10,11,2,9,3,6,5,7,4,18000000.0,3000000.0,1500000,1000000,730000,,,,,,38,25,18,9,2023,16,54,Somewhat truthful,Are arbitrary and unreliable numbers,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,5510,Mbeya,Small (5-19),Retail,Panel,8.70102,8.776189,8.42998,73,0,0.0
1181298,634,Other Manufacturing,Small,Arusha,Establishment,0,1,Yes,Fabricated metal products,Manufacturing,Arusha,6,Small,No,Swahili,12,9,2023,10,6,Yes,2022,12,31,Tanzania,ES002,,,,,,Partnership,,1.0,100,0.0,0,0,No,No family ownership,,,,2009,12,2009,20.0,No,1,0,No,,No,,,,60,Yes,15.0,8.0,30.0,,800000.0,No,,No,,,,6,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,Unable to change provider,Very severe obstacle,Manufacturing of ,,,,,70,32000000.0,Thirty two million,30000000.0,THIRTY MILLION,28000000.0,Twenty eight Million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,No obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,40.0,0.0,Yes,"Yes, there is more competition",Yes,No,,Major obstacle,1.0,Yes,"Sculpting and painting, as well as installing aluminum mirrors for our customers.",recently we are carrying out welding activities and painting as well as fixing aluminum glassware within our customers houses,No,,,No,,50.0,No,,,No,,,,,,Minor obstacle,No,,No,No,100,0,0,0,0,Yes,2500000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,No,No,No,,,,,,,,,,,,,No,No,Other,,,,No,0,,,,,30,Other,1.0,4.0,No,,,,,Tend to agree,No time was spent,Yes,1.0,No,No,,No,2.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,7.0,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,7,6,2,3,1,4,5,6.0,6,5.0,1.0,2,2,1,5.0,1.0,,0.0,,0.0,,,,,,,None,4,2.0,Competitive labor costs and benefits were too high,None,No,Yes,No,Yes,No,,,,,6,6,0.0,3.0,No,,,No,,No,No obstacle,Very severe obstacle,Electricity,10,11,13,12,2,1,5,4,15,8,7,14,9,3,6,7200000.0,300000.0,1800000,360000,0,0.0,,7200000.0,0.0,5000000.0,10,4,12,9,2023,11,6,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,Yes,City with population over 1 million,2592,Arusha,Small (5-19),Other Manufacturing,Panel,78.29837,81.90865,95.40257,4,0,0.0
